"","g_whoregion","pregTBI_best","pregTBIwidthSq","ppTBI_best","ppTBIwidthSq","pregTBI_lo","pregTBI_hi","ppTBI_lo","ppTBI_hi"
"1","AFR",61816.1517333256,634359618.795948,20145.4423059499,67372895.5788346,49222.9033557628,74409.4001108883,16041.3926114763,24249.4920004234
"2","AMR",2975.82073884612,952935.816827907,969.798722927529,101207.648435027,2487.72858135229,3463.91289633994,810.732975172845,1128.86447068221
"3","EMR",16266.6175051664,208718266.081351,5301.1744548087,22167164.3803317,9043.07498640613,23490.1600239267,2947.073544677,7655.27536494041
"4","EUR",2804.1860486433,2058512.41324154,913.864203352504,218626.687064815,2086.81020341962,3521.56189386698,680.076539507288,1147.65186719772
"5","SEA",54330.4056596752,2838564174.38094,17705.891130162,301472984.799028,27691.3170191974,80969.4943001531,9024.40242143487,26387.3798388892
"6","WPR",13341.8637833905,95463425.2526805,4348.01810797995,10138803.2758995,8456.59446500386,18227.1331017772,2755.94373189858,5940.09248406132
"7","Total",151535.045469047,3780116932.74099,49384.1889251806,401471682.369594,120793.717697052,182276.373241042,39365.8097852,59402.5680651612
