"","g_whoregion","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi","births_best"
"1","AFR",61816.1517333256,236.857151091407,134579.782396344,20145.4423059499,77.1900537038962,43858.5897988085,37305043
"2","AMR",2975.82073884612,703.237745357373,5282.22905604469,969.798722927529,229.180158085215,1721.44071915742,15155074.8
"3","EMR",16266.6175051664,996.222383300553,33297.7398115494,5301.1744548087,324.661758843484,10851.4955635853,17314276.2
"4","EUR",2726.23019503439,490.64111291726,5141.47907740898,888.458947488886,159.896434120357,1675.57130647703,11186342.2
"5","SEA",54330.4056596752,8670.16017456186,104245.435757104,17705.891130162,2825.54327117418,33972.8429029847,36100240
"6","WPR",13342.5203170718,3029.15192031299,25790.0982524303,4348.23206761715,987.178974030573,8404.8088054795,23748451
"7","Total",151457.74614912,14126.2704875414,308336.764350881,49358.9976289541,4603.6506499577,100484.749096492,140809427.2
