period,m,lo,hi,SE,description
P,5.728346,2.81561661323532,11.6542670409984,2.25475776218446,Pregnancy HIV
PP,3.577219,1.06059409799801,12.0654035300741,2.80734934491737,Postpartum HIV
PH0,1.34341139856519,1.17056124542255,1.54178535540308,0.0947000280562583,Pregnancy no HIV
PPH0,1.91193087685101,1.53050657243835,2.38841161722847,0.218853327752582,Postpartum no HIV
PH1,5.728346,2.6431459,10.94067,0.362376837179319,Postpartum HIV data
PPH1,3.577219,0.8467287,9.632884,0.620295307236962,Postpartum HIV data
