"V1","g_whoregion","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi","births_best"
1,"AFR",83886.1011342392,465.65736222749,187703.545713565,38273.4687817473,207.128597845837,85795.8376867649,44989501.4
2,"AMR",4407.63183699436,912.139324758606,7960.8164461722,2082.48518328336,424.208336222399,3767.98614842421,14603224.4
3,"EUR",1165.63665795784,245.958771949176,2206.55990410998,559.097903503028,110.889228665677,1066.34128770416,7316129
4,"SEA",115294.581626385,35456.1458824922,202556.493265042,57280.4783245652,17937.1828036852,100266.993123644,71667425.6
5,"WPR",1516.80343445854,372.962860206675,2660.84807935113,583.292089456786,143.707311089549,1022.97596137358,692052.4
6,"Total",206270.754690035,37452.8642016341,403088.263408241,98778.8222825556,18823.1162775087,191920.134207911,139268332.8
