"","g_whoregion","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi","births_best"
"1","AFR",62067.5508137446,342.007343821179,139058.921842292,20227.3714705507,111.457750441724,45318.3093503898,44989501.4
"2","AMR",3301.15880995669,691.74483950918,5956.1982925615,1075.8240764591,225.434702161474,1941.08247927227,14603224.4
"3","EUR",881.362311611324,182.64410482092,1670.28954605204,287.229681909048,59.5224091603892,544.335432418747,7316129
"4","SEA",87532.7695553628,27211.7790443207,153288.074971232,28526.3043640245,8868.12442069382,49955.4887183032,71667425.6
"5","WPR",1035.58064065405,254.881261804043,1816.4355801965,337.488333784579,83.0639826414961,591.963381046181,692052.4
"6","Total",154818.422131329,28683.0565942761,301789.920232334,50454.2179267279,9347.6032650989,98351.1793614302,139268332.8
