"country","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi"
"Afghanistan",1922.03025668673,464.876171439114,3379.18434193434,626.375931866657,151.499823727925,1101.25204000539
"Albania",2.15904512463302,1.44582173666003,2.87226851260601,0.70361738436701,0.471182976679385,0.936051792054636
"Algeria",289.909485743879,94.8792615114457,484.939709976313,94.4794306218892,30.9204736175693,158.038387626209
"Angola",3779.06406074705,891.965626464216,6666.16249502988,1231.56998408274,290.685226481642,2172.45474168384
"Antigua & Barbuda",0.000185719155051543,0.000165083693379149,0.000206354616723936,0.0000605245460659045,0.0000537995965030262,0.0000672494956287828
"Argentina",189.68023077989,124.274571224576,255.085890335203,61.8154323523747,40.5001950865806,83.1306696181688
"Armenia",3.81191941949568,1.79317008282217,5.83066875616918,1.24227731081779,0.584381321634012,1.90017330000156
"Aruba",0,0,0,0,0,0
"Australia",20.956734142165,12.911516579204,29.0019517051261,6.82964996597342,4.20777102804416,9.45152890390269
"Austria",2.95366581370974,1.813196126983,4.09413550043647,0.962578591075049,0.590907666382854,1.33424951576724
"Azerbaijan",78.760736675016,24.0116526028401,133.509820747192,25.6675615056972,7.82522607146128,43.5098969399331
"Bahamas",0.511196096133121,0.337117401046633,0.685274791219609,0.166595156329098,0.109864153019662,0.223326159638533
"Bahrain",2.95896654757095,1.86048513182016,4.05744796332174,0.964306062378033,0.606318815280678,1.32229330947539
"Bangladesh",3986.06927474165,1264.0173232972,6708.12122618611,1299.03150471491,411.93421696739,2186.12879246244
"Barbados",0,0,0,0,0,0
"Belarus",11.7161973645969,5.34681774505388,18.0855769841399,3.8182250339981,1.74248971155774,5.89396035643846
"Belgium",10.2083805665097,6.0081718626415,14.408589270378,3.32683830962148,1.95802029452156,4.6956563247214
"Belize",1.24511821520623,0.84460529418307,1.64563113622938,0.405775132634172,0.275250832479304,0.53629943278904
"Benin",179.114874324535,36.873623407375,321.356125241695,58.3722581504064,12.0168504854392,104.727665815374
"Bhutan",26.1047903511716,11.745358945618,40.4642217567253,8.50736471265862,3.82772858495586,13.1870008403614
"Bolivia",182.060615867512,46.764556558798,317.356675176226,59.3322542782516,15.2402349499654,103.424273606538
"Bosnia & Herzegovina",3.12204137687305,1.15496324254733,5.08911951119878,1.01745098442738,0.376394271008727,1.65850769784603
"Botswana",80.7974087384084,29.583802302995,132.011015173822,26.3312983834992,9.64114985767248,43.0214469093259
"Brazil",772.323931864632,523.714193635141,1020.93367009412,251.69485279517,170.674714890024,332.714990700317
"Brunei",1.97811838373939,1.19114001152582,2.76509675595297,0.644654651843641,0.388184021613325,0.901125282073958
"Bulgaria",5.003143470311,1.92361691875341,8.08267002186859,1.63048872023528,0.626893013700887,2.63408442676967
"Burkina Faso",225.106859390863,66.735101280987,383.478617500738,73.3607175693436,21.7484928281788,124.972942310508
"Burundi",353.824050809808,94.2675283880628,613.380573231553,115.308730844268,30.7211141621812,199.896347526354
"Cambodia",303.360494212669,64.072108565215,542.648879860123,98.8630182032359,20.8806425234852,176.845393882987
"Cameroon",1071.56205074056,256.611399632218,1886.5127018489,349.2144183217,83.627822201571,614.801014441829
"Canada",20.9036936346929,12.5081669951559,29.2992202742299,6.81236444344902,4.07632227967135,9.54840660722669
"Cape Verde",1.65886883910611,0.761846147558299,2.55589153065391,0.540613505601543,0.248280217731053,0.832946793472034
"Central African Republic",737.372785312922,209.69693998158,1265.04863064426,240.304523785015,68.3387349047114,412.270312665318
"Chad",707.697198502611,200.947899756043,1214.44649724918,230.633462012011,65.4874851883533,395.77943883567
"Chile",24.2866769558703,16.2784198342193,32.2949340775212,7.91485454365415,5.30502074954469,10.5246883377636
"China",4221.42833950526,2760.93233464919,5681.92434436133,1375.7333427852,899.768126916924,1851.69855865347
