"","g_whoregion","pregTBI_best","pregTBIwidthSq","ppTBI_best","ppTBIwidthSq","pregTBI_lo","pregTBI_hi","ppTBI_lo","ppTBI_hi"
"1","AFR",60066.8776306862,600232318.15725,19575.3663707147,63748366.2201049,47817.0580589818,72316.6972023906,15583.2376710075,23567.4950704219
"2","AMR",2956.63597866813,942468.556526178,963.546546619525,100095.960971939,2471.23187986844,3442.04007746783,805.356817992839,1121.73627524621
"3","EMR",15938.1933171018,201406031.888209,5194.14335780549,21390560.1070684,8842.31366958434,23034.0729646192,2881.64686553418,7506.6398500768
"4","EUR",2829.39652098428,2136864.3881077,922.080116213627,226948.149000039,2098.49564054499,3560.29740142357,683.884739999038,1160.27549242822
"5","SEA",53992.1395684413,2803926965.84769,17595.6526272152,297794300.083752,27516.0797886719,80468.1993482107,8967.2938597011,26224.0113947294
"6","WPR",13314.9069976344,93253904.7670742,4339.23308405049,9904138.60219504,8486.50392914801,18143.3100661207,2765.69101262413,5912.77515547685
"7","Total",149098.150013516,3701898553.60486,48590.0221026191,393164409.123093,118676.535355493,179519.764671539,38675.8351828171,58504.2090224211
