"","g_whoregion","pregTBI_best","pregTBI_lo","pregTBI_hi","ppTBI_best","ppTBI_lo","ppTBI_hi"
"1","AFR",61841.6891040227,243.95514231686,134624.355886325,20153.7647526503,79.5032383443337,43873.1159808113
"2","AMR",2994.48273098303,715.680977770169,5307.10980790573,975.880532865006,233.235318648314,1729.54917846928
"3","EMR",16366.210091213,1056.62811953325,33436.5192474099,5333.63096722567,344.347556812176,10896.7227904506
"4","EUR",2710.40489000749,484.694934708376,5115.77464556406,883.301593618512,157.958617114783,1667.19441574186
"5","SEA",54346.7896172209,8680.60560915776,104267.758237599,17711.2305448979,2828.94736369874,33980.1176399319
"6","WPR",13374.4763411384,3050.04370962859,25833.1185112479,4358.64630760314,993.987458941461,8418.8288005406
"7",NA,0,0,0,0,0,0
"8","Total",151634.052774586,14231.608493115,308584.636336052,49416.4546988605,4637.9795535598,100565.528805946
